running_id,issues,การเดินทาง,กีดขวาง,คนจรจัด,คลอง,ความปลอดภัย,ความสะอาด,จราจร,ต้นไม้,ถนน,ทางเท้า,ท่อระบายน้ำ,น้ำท่วม,ป้าย,ป้ายจราจร,ร้องเรียน,สอบถาม,สะพาน,สัตว์จรจัด,สายไฟ,ห้องน้ำ,เสนอแนะ,เสียงรบกวน,แสงสว่าง
12,"เรื่องทางเท้าแตกล้ำมาใน
 ถนน ท่าข้าม ช่วงบริเวรทาง
 ออกหลังบิ๊กซีพระราม2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,ถนนปรีดีพนมยงค์รถติดหนักทั้งเช้าและเย็นเนื้องจากมีรถยนต์และมอเตอร์ไซค์จอดในเวลาห้ามจอดเป็นจำนวนมาก,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"สวัสดีค่ะ วันนี้มาโรงพยาบาลจุฬา เดินมาทางSky walk ศาลาแดง เชื่อมต่อสะพานลอยข้ามไปรพ. บนสะพานลอยมีสายไฟห้อยลงมาต่องแต่ง ระดับสายตาค่ะ ถ้าคนตัวสูงอาจจะต้องย่อ หรือหลบไม่ทัน 
 พิกัด: สะพานลอยคนข้าม ฝั่งพระราม4 ที่จะเข้าไปในรพ.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,ถนนเส้นนี้ ท่วมตลอด 20ปี ต้อง เทปูน ยกสูง เพราะ ถนน ซอยแยก ทุกซอยแยก ยกสูง ทำไม ถนนเมน สายหลักไม่ยกสูง ที่ต้ำ (ซอย ลาดพร้าว 80แยก14 วัดสามัคคีธรรม เคย แจ้งไปนานละ )),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,ถนนเป็นหลุม เคยแจ้งปัญหาไปแล้วแต่ยังไม่ได้รับการแก้ไข,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,พระ ชี มาตั้งพระพุทธรูปและสร้างที่พักบนทางเท้า ผู้สัญจรต้องลงเดิรบนถนน เสี่ยงอุบัติเหตุ,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"ขอแจ้งปัญหาเกี่ยวกับฝาปิดท่อ 
 1.ชำรุด 
  
 ตั้งอยู่หน้าคลินิกซึ่งมีผลต่อประชาชนที่ผ่านไปมาและที่สำคัญคือคนไข้ที่เข้ามารับบริการส่วนมากจะเป็นผู้สูงอายุ มีการสะดุดล้ม",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,มีไฟชาร์จรถมอเตอร์ไซค์มาตั้งบนฟุตบาทสาธารณะ และมอเตอร์ไซค์มาจอดชาร์จ กีดขวางทางจราจร ที่ ถนนบางขุนนนท์ค่ะ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ไม่พอใจการชี้แจงของฝ่ายโยธา เขตคลองสามวา เรื่องการก่อสร้างสะพานลอย ขอให้ทางสำนักเขตคลองสามวา ช่วยแหกขี้ตาดูต้นแบบสะพานลอยหน้าสำนักงานเขตมีนบุรีด้วย บริเวณนั้นฟุตบาทแคบ ทำไมถึงก่อสร้างสะพานลอยได้,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,เวลาประมาณ 21.55 น. วันที่15/7/65 มีรถตักดินมา ขนดินอยู่ในพื้นที่หลังบ้าน เสียงดังมากในยามวิกาล บนถนน เจริญพัฒนา ข้างหมู่บ้านพฤกษาพรีเว่ รามอินทรา 117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,อยากทราบเรื่องเขื่อน.ว่าเมื่อไหร่จะดำเนินการต่อค่ะ.แล้วโครงการบ้านมั่นคงจะสร้างได้มั้ย.เพราะตอนนี้ชาวบ้านไม่ได้ความชัดเจนของเรื่องนี้ค่ะ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
23,สนามบาสที่สวนป่าเฉลิมพระตรงซอยเจริญนคร15 ติดกับโกดังเป๊ปซี่เก่า ชำรุดครับเนื่องจากทำสนามใหม่แล้วเค้าทำเป็นสนามเป็นยางเลยเสียหายง่ายครับแถมสนามก็ไม่ได้มาตรฐานยิ่งทำยิ่งไม่ได้มาตรฐานครับทั้งๆที่ก่อนทำก็เคยเอาแบบแปลนให้ทางเขตคลองสานดูก่อนจะจะมีการรีโนเวทสนามใหม่ทั้ง 2รอบครับแต่เหมือนทางเขตคลองสานไม่สนใจคำแนะนำเลยครับ ตอนนี้สภาพสนามก็เสียหายมากขึ้น สนามมีน้องๆเยาวชนแล้วคนทำงานมาเล่นกันเยอะอบากให้ช่วยปรัลปรุงครับ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,รบกวนเข้ามาตรวจสอบหน่อยนะครับ ตรงชุมชนหมู่บ้านตรงปากซอยบางแค4 ไม่เข้าใจทำไมตำรวจถึงไม่มาตรวจสอบบ้าง มันเป็นถนน ที่คนต้องใช้เข้าออกตลอดเวลา แต่เป็นเพราะขาดวินัย ให้รถ จอดริมถนนได้ยังไง แล้วรถผ่านไปผ่านมา ช่วงเร่งรีบจะทำยังไง ดูแล้วกัน ไม่เคยเข้ามาดูเลย ขนาดปัญหาแค่นี้,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,รบกวนแก้ไขปัญหา สายไฟและอินเตอร์เนต 4แยกไฟแดง ซ.เอกมัย5 คับ อีกนิดจะบังสัญญาณไฟจราจรแล้ว ผู้แจ้งไม่ใช่คนแถวนี้ แต่ผ่านทุกวันเพราะทำงานแถวนี้คับ /กราบขอบพระคุณคับผม🙏🙏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,"เรื่องนี้คืบหน้าอย่างไรแล้วคะ
 ***จุดประสงค์คือ ขอให้
 กทม.หรือเขตพญาไท
  **แก้ไข/ซ่อมแซมโดยเทปูนทำฟุตบาทหน้า..คอนโดไลฟ์แอด พหล อารีย์..ที่แตกเป็นหลุมใหญ่ให้ใหม่
 ให้เรียบ..(ไม่ต้องใส่กระเบื้องคะ)..การเดินเท้าและรถเข้า ออกจะได้ปลอดภัยไม่เอียงสะดุดหกล้ม(หลุมที่ใส่ยางมะตอยมันหลุดคะ)...วันก่อนมีหญิงตั้งครรภ์เดินสัญจรสะดุดหกล้มด้วย.. ..ช่วยเร่งเรื่องให้แล้วก่อนจะเกิดเหตุอันตรายกว่านี้นะคะ",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,ป้ายรถเมล์ตรงแยกลำสาลี ถนนศรีนครินทร์ขาออก หลอดไฟเสีย เพิ่งซ่อมใช้ได้ไม่นานก็เสียอีก. บริเวณบ้านกรองน้ำ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,สายไฟไม่เรียบร้อยค่ะที่ถนนกัลปพฤกษ์ ปั้มน้ำมัน ปตท,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,ถนนชำรุด เป็นหลุม ไม่เรียบ หลังจากซ่อมไปไม่นาน (ซ่อมแล้ว ชำรุดอีกแล้ว),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,มีข้อสงสัยว่าทางสนง.เขตน่าจะมีที่จอดรถสำรองที่สามารถดำเนินการได้ เช่น ขอไปจอดรถในสภาพัฒน์ หรือขอจอรถใน โรงแรมรอยัลปริ๊นเซส หลานหลวง ได้ครับในกรณีที่สถานที่จอดรถหลักเต็มหรือมีปัญหา แต่นำมาจอดที่หน้าถนนศุภมิตร ในวันหยุดยาวที่ผ่านมาก็จอดแช่ 5 วัน ควรเห็นใจประชาชนบ้างครับ พวกผมไม่มีตัวเลือกจึงต้องจอดรถหน้าบ้าน อยู่ที่นางเลิ้งมา 40 กว่าปีไม่มีปัญหา พอคุณมาจัดระเบียบการจอดรถวันคี่ วันคู่ เลยมีปัญหาที่จอดรถ ผมว่า สนง.เขต ควรมีการบริหารจัดการที่ดีกว่านี้ครับ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
31,อยากให้ตัดต้นไม้ครับตั้งแต่โรงเรียนอนุบาลวลินรัตน์จนถึงศาลเจ้าเจี่ยเนื่องจากเนื่องจากกิ่งไม้มีกาฝากและยื่นเข้าตัวบ้านประชาชนเวลาฝนตกลมแรงกิ่งไม้หล่นร่วงลงถนนและก่อให้เกิดอุบัติเหตุได้ครับ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,เสียงทำเหล็กดังรบกวน ตั้งแต่ 8.00 ไม่เว้นวันเสาร์และอาทิตย์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,ท่อทางเดินฟุตบาท ชำรุด เกรงว่าผู้ที่เดินทางสัญจร กลางคืนจะตกลงไปได้รับอันตราย,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,ทางเดินเรียบคลองบ้างน้ำแก้ว ตอนนี้ไม่มีไฟส่องสว่างเพียงพอค่ะ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,รถสองแถวชอบจอดรับคน ขวางเส้นทางเลี้ยวรถ 2 จุด หลักๆ คือ บริเวณ ทางเข้าซอยชัยพฤกษ์ / จุดตัดซอยชัยพฤกษ์กับซอยสวนผัก,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,รถบรรทุกติดเวลา วันนี้เจอเป็น10คัน ไม่มีจราจร ทำงาน ไหนบอกกวเฃดขันปล่อยวิ่งเข้าออก ปากซอยเพชรเกษม81 สบาย,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"1. สายไฟห้อยตกลงมา
 3. ก่อนถึงแยกศิริราชมาจากสามแยกไฟฉาย
 4. รับการแจ้งเตือน",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,"ตีนสะพานปิ่นเกล้าขาเข้า มีแผ่นเหล็กวางระหว่างซ่อมสะพาน มาเป็นอาทิตย์ ช่วงเช้าทำให้รถทุกคันต้องชะลอและรถติดขึ้น ช่วงรถโล่ง ทำให้ช่วงล่างรถกระแทกแผ่นเหล็กเวลาขับมาเร็วๆ เพราะมองไม่เห็น และแผ่นไม่พอดีพื้น
 
 ตำแหน่ง : ตีนสะพานปิ่นเกล้าขาเข้า ตอนทางขึ้น",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,ก่อนเลือกตั้ง ผอ ได้มาพบประชาชนที่เดือดร้อนจากท่อระบายน้ำตัน รับปากว่าจะมาจัดการให้ แต่ไม่มีดำเนินการอะไร,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
41,1 ท่อตัน เป็นปัญหามายาวนาน ทำให้น้ำท่วมง่าย และส่งกลิ่นเหม็น,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42,"1. เรื่อง คนในชุมชนจอดรถขวางทางเข้าออก เคยตกลงกันแล้วแต่ก็ไม่จบสักทีคับให้ ผมให้จอดด้านในก็ไม่ไปจอดกันคับ 
 ผมไม่สามารถกลับรถ หรือโยกรถหน้าบ้านได้เลย แถมมีการอ้าง ตำรวจ เคยมีเรื่องกันมาแล้วคับ กับคนในชุมชน ยอมสละที่กลับรถ ขอแค่หน้าบ้าน ก็ไม่ยอมกันเลยคับ",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,น้ำท่วมขังจนเน่าเสียอีกแล้วค่ะ ไม่ใช่แค่ซอยเดียว ตลาดคลองเตยด้านในตลาดก็เป็นค่ะ เหมือนเอ่อจากท่อขึ้นมาด้วย,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
44,"1. เรื่อง คนในชุมชนจอดรถขวางทางเข้าออก เคยตกลงกันแล้วแต่ก็ไม่จบสักทีคับให้ ผมให้จอดด้านในก็ไม่ไปจอดกันคับ 
 ผมไม่สามารถกลับรถ หรืแโยกรถหน้าบ้านได้เลย แถมมีการอ้าง ตำรวจ เคยมีเรื่องกันมาแล้วคับ กับคนในชุมชน ยอมสละที่กลับรถ ขอแค่หน้าบ้าน ก็ไม่ยอมกันเลยคับ",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,มีสายระโยงระยางพาดมาลงมาต่ำ อาจเป็นอันตรายแก่ผู้สัญจรไปมาค่ะ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,วินปากซอยลาดพร้าว101ไม่ติดบัตรประจำตัว เก็บค่าโดยสารเกินราคาค่ะ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,"ซอยจรัญสนิทวงศ์ 73 
 
 มีสายสื่อสารหล่นลงมาขวางเส้นทางเดินเท้า เส้นทางนี้มีคนเดินไปขึ้นรถเมล์ และ มีรถจักรยานยนต์ขับขี่ผ่านตลอด",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,ไฟแดง 5 แยก ณ ระนอง ปล่อยไฟเขียวฝั่งถนนอาจณรงค์น้อยมากๆ เพียง 30 วิ เป็นมอเตอร์ไซค์ก็ 20 วิแล้ว ไม่เหลือให้รถผ่าน,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,มีการปล่อยท่อน้ำทิ้งจากการซักผ้าลงบนบาทวิถีมาเป็นเวลานาน โดยเทศกิจ เขตสาทร ไม่มาตรวจรึดำเนินการใดๆทั้งๆที่อยู่ห่างกันไม่ถึง 500 ม. ทำแบบนี้ก้อได้ด้วยหรอ??,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
50,อยากให้ทำถนนบนสะพานให้เสร็จค่ะ เป็นมาหลายเดือนแล้วค่ะ ถนนที่ขรุขระทำให้รถติดมากๆทุกเช้ากลางวันเย็นเลยค่ะ ทุกเวลา,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,ขอความกรุณาเจ้าหน้าที่ นำผิวยางมะตอยมาซ่อมหลุมบนถนนชั่วคราว บริเวณแยกมักกะสันด้วยครับ ผู้ใช้ทางเดือดร้อนมาก ขอให้เห็นประโยชน์ของประชาชนเป็นที่ตั้งด้วยครับ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,คือมีการชุมนุมบริเวณนี้บ่อยมาก เด็กนร.ก็ต้องเรียน ตอนเย็นหากยังไม่เลิกชุมนุม ผู้ปกครองก็ไปรับยาก เด็กกลับเองก็ลำบาก บางทีมีการสลายการชุมนุม นร. และผู้ปกครองก็เดือดร้อนนะครับ ชุมนุมแต่ละครั้งก็ไม่ได้มากันเบาๆ เครื่องขยายเสียง ปิดถนน สารพัด #รบกวนดูแลหน่อยครับ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
54,ขอร้องเรียนว่าร้านขายของเก่า มีการทำลายแผงกั้นทางใต้ทางด่วน รวมถึงมีการยึดผิวถนน จอดรถตลอดทั้งวัน ก่อให้เกิดความเดือดร้อนต่อผู้สัญจรในบริเวณนี้ ขอให้เจ้าหน้าที่ตรวจสอบว่า ร้านขายของเก่าใช้พื้นที่ถูกต้องหรือไม่ เพราะบริเวณนี้คือพื้นที่สาธารณะ และขอให้คืนผิวจราจรให้ผู้ใช้ทางด้วยครับ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,ฝาท่อในซอยอินทามาระ 15 ไม่เสมอกับพื้นถนน เวลารถขับผ่านไปมาส่งเสียงดังมากรบกวนคนในบริเวณนั้น และเนื่องจากซอยนี้มีรถเข้าออกแทบจะตลอด 24 ชม จึงทำมีเสียงรบกวนตลอดเวลา,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,ชอบมีไรเดอร์ จอดมอเตอร์ไซค์กีดขวาง ทำให้ถนนเหลือ 1เลข,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,ไฟถนนบริเวณเกาะกลางถนน ดับตลอดแนวตั้งแต่แยกพระราม 9 ยาวไปตลอดแนวถนนรัชดาภิเษกถึงแยกห้วยขวาง ขอให้เจ้าหน้าที่ตรวจสอบด้วย ถนนมืดมากๆ เสี่ยงอันตราย กรุณามาแก้ไขอย่างเร่งด่วน,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,ตัดต้นไม้ เนื่องจากต้นไม้ยาวมากไม่ได้ตัดนาน ต้นไม้ละสายไฟปกคลุมส่วไฟสายสื่อสาร ยาวจนกิ้งก้านละพื้น เกรงอันตรายจะเกิดเพลิงไหม้,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,ตรงบริเวณถนนนราธิวาสราขนครินทร์ซอย 6 ซึ่งเป็นซอยที่มีโฮสเทลที่ชาวต่างชาติพักมากและเด็กนักเรียนทั้งอัสสัมชัญและศุภวิทย์เดินผ่านซอยบ่อย แต่ในซอยสายสัญญาณระโยงระยางและพาดต่ำ บางทีเด็กสัมผัสได้อาจเป็นอันตรายและชาวต่างชาติเห็นก็ถ่ายภาพมันขายหน้ามาก ขอให้นำสายสัญญาณออกไปจะเกิดความปลอดภัยและทัศนวิสัยดีกว่านี้มาก ขอบคุณครับ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,ขอให้มาตรวจสอบแนวท่อระบายน้ำช่วงต้นซอยถึงกลางซอยเลิศปัญญา (ราชวิถี 9) จากทางเข้าถนนรางน้ำ พบว่ามีร้านค้าและชาวบ้านรุกล้ำแนวท่อระบายน้ำทำเป็นแนวรั้ว แนวร้านค้า ทำให้ถนนแคบลง เสี่ยงอันตรายมาก และทำให้เกิดน้ำท่วมในพื้นที่ ขอให้เจ้าหน้าที่ตรวจสอบและรื้อถอนสิ่งผิดกฏหมายในบริเวณนี้ด้วยครับ,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
61,ลานจอดรถ สวนลุมพินี มีไว้เพื่อบริการประชาชนที่เข้ามาออกกำลังกาย มาติดต่อธุระราชการ แต่มักมีพนักงานบริษัทแถวนี้และรถคนงานก่อสร้างมี่ทำงานแถวนี้มาจอดทั้งวัน แท็กซี่ รถตู้ มาจอดนอนเยอะมาก ทำให้ผู้ที่มาใช้บริการภายในสวนสาธารณะจริงๆไม่มีที่จอด และมักจะอดรถล้ำทางเท้าทำให้เดินไม่ได้ จากรูป สังเกตุหมวกก่อสร้างชัดๆ ยังมีเข้ามาจอด รปภ.ไม่สนใจ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,ถนนในซอยที่อยู่ในประจำวันค่ะ ถนนพังมาก เกิดอุบัติเหตุตอนกลางคืนบ่อยมากเพราะถนนเป็นหลุม,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,ร้านค้าที่เช่าพื้นที่ห้างวิคตอรี่มอล ใช้พื้นที่ผิวถนนเป็นหน้าร้าน วางของเต็มพื้นที่ ทำให้เมื่อมีลูกค้าจะซื้อของ ต้องลงมายืนบนถนน ขอให้เทศกิจลงพื้นที่จัดระเบียบร้านค้าที่ตั้งในบริเวณนี้ด้วย และขอให้ตรวจสอบด้วยว่าเปิดให้เช่าร้านริมถนนเช่นนี้ถูกต้องหรือไม่ ถนนแคบมากอยู่แล้ว ร้านค้าเปิดร้านโดยไม่คำนึงถึงความปลอดภัย ก่อให้เกิดความเสี่ยงแก่ผู้คนในบริเวณนี้,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,ขอติดตามเรื่องเสาไฟฟ้าเอียงใกล้ล้ม ไม่ทราบว่าได้ดำเนินกานไปอย่างไรบ้างครับ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"""ขอคืนทางเท้าทางเดิน"" ช่วยตรวจสอบว่า ด้วยครับว่าฟุตบาทกับตัวตึกริมถนนอันไหนถูกต้อง บริเวณโดยรอบ 4 กั๊กเสาชิงช้าถนนแพร่งภูธร",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,แจ้งพื้นที่รกร้างบดยังเสาไฟส่องสว่าง ป้านบอกซอย และหญ้าขึ้นเลยมาที่พื้นผิวถนน,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,ป้ายห้ามจอดในซอยอินทามระ 4 ช่วงหน้า ร.ร. อนุบาลเบญจมาสหายไป,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,ขอร้องเรียนวินมอเตอร์ไซต์บริเวณปากซอยราชวิถี 9 มีการจอดรถมอเตอร์ไซต์บนผิวถนน กีดขวางทางสัญจร ขอให้ผู้เกี่ยวข้องมาลงพื้นที่ตรวจสอบในช่วงเย็น และบังคับใช้กฏหมายด้วยครับ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"เรื่อง แจ้งซ่อมผิวจราจรชำรุดเป็นหลุมบ่อ 
 บริเวณ ถนนเจริญนคร ใต้สะพานตากสินและแยกเสนาเฟส
 พื้นที่ เขตคลองสาน
 ผลกระทบ ทำให้เกิดอุบัติเหตุ และ จราจรเคลื่อนตัวล่าช้า
 วัตถุประสงค์ ขอให้แก้ไขเร่งด่วนที่สุด",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"ถนนในซอยข้างสุสานวัดท่าพระ
 อยากให้ช่วยถอนสายสัญญานอินเตอร์เนตที่เป็นสายตายให้ด้วยครับ เพราะ
 -เดินสายต่ำมาก กลัวจะโดนรถที่สูงเกี่ยวรั้งสายลงมาครับ
 -มีสายจำนวนมาก กลัวอัคคีภัยครับ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
